,quote,author,category
374555,"It's impossible to hit a target that you can't see. You must visualize your goal, set a plan and work your plan. Don't make excuses. .. Just make time.",Randa Manning-Johnson,"encouragement-quotes, goals-quotes, inspirational-quotes, plans, randa-manning-johnson, time-quotes, vision-quotes, welcometorandaland"
41666,"The making of miracles to edification was as ardently admired by pious Victorians as it was sternly discouraged by Jesus of Nazareth. Not that the Victorians were unique in this respect. Modern writers also indulge in edifying miracles though they generally prefer to use them to procure unhappy endings, by which piece of thaumaturgy they win the title of realists.","Dorothy L. Sayers, The Mind of the Maker","realism, writing"
285071,You may not believe in chance but it provides us with every opportunity we need.,"Chloe Thurlow, The Secret Life of Girls","chance, opportunity"
327218,"trailed off as her attention moved from Will taking his juice from the bartender to the glass behind the bartender. There were red dots on the glass. Alessandro brushed her shoulder again and Bree followed a row of red dots from the glass mirror to the wall. Some of the red dots danced over the guests and as an icy cloak of understanding fell over Bree, it seemed to grip Alessandro as well. Then she turned to face him and there were red dots on his chest, as well as her shoulder, which he had been brushing, thinking it was a speck of dust. “GET DOWN!” he screamed to everyone grabbing Bree by the waist and throwing her down while and trying to be heard over the music. Chaos erupted as gunfire drowned out the sound of music and people fell screaming on top of each other as pieces of the wall and glass from the doors and the mirrors rained down on them. The gunfire raged on and on for what seemed like an eternity. Then there was silence.","E. Jamie, The Betrayal","alpha-hero, erotic-romance, gangster-hero, series-romance, trilogy"
459758,The awareness that health is dependent upon habits that we control makes us the first generation in history that to a large extent determines its own destiny.,Jimmy Carter,"Health, Destiny, Control "
415147,It so happens that the world is undergoing a transformation to which no change that has yet occurred can be compared  either in scope or in rapidity.,Charles de Gaulle,progress
60799,"Gus leaned back in his chair, appearing satisfied.""Good,"" he said. ""Cause Maggie's all the nightmare I can take.""I smiled. ""Gus, I never knew you dreamed of me."" He gave me a one-fingered salute","Jessica Shirvington, Disruption","funny, gus, humor, maggie"
15393,"There are people who desperately want to change the world. I wonder if it could be measured, because the world is already in the state of continuously change since the beginning of time. Or they may just want their names etched nicely on men history.","Toba Beta, My Ancestor Was an Ancient Astronaut","change, history, life, perception, truth, world"
196211,"Now that we have that settled, I want to focus my attention on something else or should I say someone else... That someone else is you.","Brey King, My Heart, My Kingdom's Princess","couple, focus, love, paranormal-romance, romance"
347110,"My natural elasticity was crushed, my intellect languished, the disposition to read departed, the cheerful spark that lingered about my eye died; the dark night of slavery closed in upon me; and behold a man transformed into a brute!",Frederick Douglass,"frederick-douglass, slavery"
478006,"Trees and plants always look like the people they live with, somehow.",Zora Neale Hurston,"Trees, Plants, People "
327794,"Once you hold the hand of Death, the only thing in life that can scare you is a sense of humor.",Lionel Suggs,"death, irony"
144112,"No one was ever born without that light or flame of life. Some event, some person stifles or drowns it altogether. I was always tempted to resuscitate such men by my own joyousness or luminosity.When I break glasses in a night club, as the Russians do, when my unconscious breaks out in wild rebellions, it is against life which has crippled these idealistic, romantic men. I respect these men, cold, pure, faithful, devoted, moral, delicate, sensitive, and unequal to life, more than I respect the tough-minded ones who return three blows to one received, who kill those who hurt them.","Anaïs Nin, The Diary of Anaïs Nin, Vol. 1: 1931-1934","brokenness, joy, life"
30635,Snape raised his wand and pointed it directly at Dumbledore.,"J.K. Rowling, Harry Potter and the Half-Blood Prince","avada-kedavra, death, dumbledore, snape"
452067,I have a really good family. I'm lucky to have people who support me and love me in my life.,Kenny Wormald,"Love, Life, Good "
470225,"Tradition is the great misleader because it's too easy to follow what has already been done - even though you may think you're giving it a kick. I was really trying to invent, instead of merely expressing myself.",Marcel Duchamp,"Myself, Giving, Easy "
44974,"The wicked fear the good, because the good are a constant reproach to their consciences. The ungodly like religion in the same way that they like lions, either dead or behind bars; they fear religion when it breaks loose and begins to challenge their consciences.","Fulton J. Sheen, Life of Christ","atheism, guilt, immorality, morality, religion, shame, sin"
367491,The simplicity and the complexity are just the opposite ends of the same spectrum.,"Pearl Zhu, Digital Gaps: Bridging Multiple Gaps to Run Cohesive Digital Business","digital, gaps, simplicity"
218154,"Love, is sometimes a simpler form of slowly dying, it's like a bullet that ricochets off time's walls of desire, waiting to hit that picture perfect heart of regrets.",Anthony Liccione,"bullet, desire, love, pain, picture-perfect, regrets, ricochet"
258509,"The trouble was, love was such a strong emotion. It made everything else unimportant. It grabbed you and imprisoned you in the moment.""Deathsworn Arc 4: The Temple of the Mad God",Martyn Stanley,"inspirational, love, love-hurts, love-quote, love-quotes, love-story, lovers, lovers-quote"
318714,"Violet remembered that slap; later her mother had called it a ""love tap,"" as if to further confuse love with pain.","Koren Zailckas, Mother, Mother","abuse, abusers"
111828,True wisdom often comes from the experience of failure—not from success.,Debasish Mridha,"debasish-mridha, debasish-mridha-m-d, experience-failure, failure, inspirational, philosophy, quotes, success, true-wisdom"
317155,"You say that you don’t care about age and that you’re ready to push the wheelchair and hose down my bum, but how can you be sure?","Edmund White, Our Young Man",age
206250,"Do I haste to live? Definitely, no. I endeavour to surpass tomorrow's me.","Alexander Zalan, Inspiration Per Moment","life, thoughts"
328814,Isn't it interesting that all of the biblical prophets and psalmists were poets?,"Eugene H. Peterson, The Contemplative Pastor: Returning to the Art of Spiritual Direction","christianity, inspirational, religious"
248075,"31. The human body seems indestructible when we are young. However, it is incredibly fragile and must be care for if it is to serve us for a lifetime. Too often, the abuse it takes during early years (from drugs, improper nutrition, sporting injuries, etc.) becomes painful handicaps during later years.","James C. Dobson, Life on the Edge: The Next Generation's Guide to a Meaningful Future","a, abuse, and, are, be, becomes, body, care, drugs, during, early, for, fragile, handicaps, however, human, if, improper, incredibly, indestructible, injuries, is, it, later, lifetime, must, nutrition, painful, seems, serve, sporting, takes, to, us, we, when, years, young"
438967,"It is never too late to get into tennis! While I started playing at the age of 8 when my parents gave me a tennis racquet for Christmas, tennis is a lifelong sport that can be enjoyed by people of almost any age. It's also something you never forget once you learn.",Samantha Stosur,"Age, Parents, Me "
92595,"If you are truly able to walk in the shoes of Christ, the very label of religion called Christianity would disappear from the face of earth.","Abhijit Naskar, Neurons of Jesus: Mind of A Teacher, Spouse & Thinker","brainy-quotes, christ, christianity, church, church-leadership, compassion, fundamentalism, inspirational, inspiring, jesus, jesus-christ, philosophy, religion, religious-extremism, religious-tolerance, religious-violence, truth, violence, wisdom, wise-sayings, words-of-wisdom"
159037,"It's morning now, and I miss the soft rasp of her voice already. Ugh. I'm in trouble, aren't I?","Pat Shand, Destiny, NY, Volume One: Who I Used to Be","destiny, intimacy, lesbian, lgbtqia-characters, logan, one-night-stand, pat-shand, romance, voice"
29058,"And that's what love is, I suppose. The one thing that is most worth hoping for, and the one thing that's most surprising when it lands. Because it's better. It exceeds hope, makes hope nearsighted.","Jessica Soffer, Tomorrow There Will Be Apricots","hope, love"
34017,All your jewels are mine to plunder.,Raubin Chaudhary,"jewelry, jewels, lifelong, love, lust, plunder, quotes, you"
483105,Banking technology has made it simple and efficient to invest in good causes.,Mark Skousen,"Good, Simple, Banking "
302862,i believe in the freedom of state where every people have to right develop their culture and maintain the democracy while two things are very essential justice and equality - Long Live Pakistan and Happy Independence Day,Avinash Advani,"democracy, freedom-of-speech, independence, pakistani"
497025,"As Congress continues to debate ways to address illegal immigration, we must remember the many hard-working legal immigrants that contribute so much to our nation's economy and culture.",Bob Filner,"Culture, Remember "
259960,The wonderful life is lived in love.,Lailah Gifty Akita,"lailah-gifty-akita-affirmations, life, love, wonderful"
272447,Your glass seems like it will always be half full even it falls down and shatters to pieces,"Kevin Jared Hosein, Together We Are Spiders","glass, half-full, optimism, pieces, shatters"
150269,A man who would be intimidated by me is exactly the kind of man I would have no interest in.,"Chimamanda Ngozi Adichie, We Should All Be Feminists","feminism, feminist"
74075,"Why does this mean so much to you, Jon?""The Prince turned. ""Because he's my friend. Because I always know where he stands, and where I stand with him. Because I think he'd die for me and--and I think I'd die for him. Is that enough?","Tamora Pierce, Alanna: The First Adventure","friendship, loyalty"
153144,"When freedom does not have a purpose, when it does not wish to know anything about the rule of law engraved in the hearts of men and women, when it does not listen to the voice of conscience, it turns against humanity and society.",John Paul II,"conscience, purpose, purpose-of-life, society"
281253,"At the end of the day, that's what a family is - a group of different people who accept each other.",Sara Sheridan,"acceptance, differences, family"
290350,"God wants to accomplish the calling of winners, he wants us to establish His victory on earth",Sunday Adelaja,"accomplish, earth, establish-victory, god, winners"
340197,"Women problems, huh?” Mac asked.“She’s more than a problem.” Adrian massaged his temples. “She’s…a virus, a lethal one. You know, there’s a rock song about her.” He sipped his whiskey and enjoyed the burning sensation as it trickled down his throat. “It’s called Poison.",Jacqueline Francis - The Journal,"adrian-hawk, drama, romance"
338299,"I Like this quote I dislike this quote“My house is run, essentially, by an adopted, fully clawed cat with a mean nature.",Anthony Bourdain,cats
213805,"But one must do something about the past. It doesn’t just cease to be. It goes on existing and affecting the present, and in new and different ways, as if in some other dimension it too were growing.","Iris Murdoch, The Nice and the Good","closure, past"
236733,"First contact comes not by hand of man, but by metal of machine.",Ryan Sean O'Reilly,"fantasy, ryan-sean-o-reilly, science-fiction, short-story, speculative-fiction, the-energy-scavengers"
140625,"The wonderful, beautiful thing that happens when you rid yourself of the things that don’t see your worth? You make space in your life for all the glorious things you deserve.","Mandy Hale, The Single Woman: Life, Love, and a Dash of Sass","clutter, dating, holding-out-for-the-best, knowing-your-value, letting-go, life, love, not-settling, positive-thinking, relationships, self-worth, settling, the-single-woman, worth"
149619,"All humans are insane, they exists because insanity exists.",Prakhar Bansal,"fiction, humor, inspirational, science"
167168,"Every kingdom has three pillars: Poet, Sword and Law.",Lara Biyuts,"creative-writing, life, life-and-living, literature, world"
253288,"Dinner was wonderful. There was a joint of beef, with roast potatoes, golden-crisp on the outside and soft and white inside, buttered greens I did not recognize, although I think now that they might have been nettles, toasted carrots all blackened and sweet (I did not think that I liked cooked carrots, so I nearly did not eat one but I was brave, and I tried it, and I liked it, and was disappointed in boiled carrots for the rest of my childhood.) For dessert there was the pie, stuffed with apples and with swollen raisins and crushed nuts, all topped with a thick yellow custard, creamier and richer than anything I had ever tasted at school or at home. The kitten slept on a cushion beside the fire, until the end of the meal, when it joined a fog-colored house cat four times its size in a meal of scraps of meat.","Neil Gaiman, The Ocean at the End of the Lane","delicious-prose, description-wow, descriptive-prose, details, food"
187822,"Yet magic is no more the art of employing consciously invisible means to produce visible effects. Will, love, and imagination are magic powers that everyone possesses; and whoever knows how to develop them to their fullest extent is a magician. Magic has but one dogma, namely, that the seen is the measure of the unseen.","W. Somerset Maugham, The Magician","imagination, love, magic, will"
18428,Failure is the condiment that gives success its flavor.,Truman Capote,"experience, failure, metaphor, success, wisdom"
344188,"All is forgotten in the stone halls of the dead. These are the rooms of ruin where the spiders spin and the great circuits fall quiet, one by one...","Stephen King, The Dark Tower",dead
401953,As a general thing  when a woman wears the pants in a family  she has a good right to them.,Josh Billings,"family, ancestry"
29746,I know it is difficult to believe in your own courage or fortitude when everything inside of you feels weak and shattered. But do not believe what you feel. You will not be easily broken.,"Rachel L. Schade, Forsaken Kingdom","belief, courage, determination, doubt, emotions, feelings, fortitude, grief, hope, loss, overcome, overcoming, pain, sorrow, strength, survival, survivor, weak, weakness"
